id,created_at,name,reason
184,2025-04-08 15:03:23,Intel,significant investments in Israel totaling more than $50 billion
185,2025-04-08 15:03:23,Irish Spring,owned by Colgate-Palmolive
186,2025-04-08 15:03:23,Instagram,platform under Meta
187,2025-04-08 15:03:23,ICL Group,multinational manufacturing company headquartered in Israel
188,2025-04-08 15:03:23,Jazwares,donated to Magen David Adom in Israel
189,2025-04-08 15:03:23,Jefferies,leading advisor to Israeli companies
190,2025-04-08 15:03:23,Jaguar,partners with TCS to open Innovation Programme in Israel
191,2025-04-08 15:03:23,J Street,lobbying for Israel
192,2025-04-08 15:03:23,Johnson & Johnson,acquires Israeli start-ups for billions of dollars
193,2025-04-08 15:03:23,Just Beauty,owners are funding
194,2025-04-08 15:03:23,Kenon Holdings,a power generation company with facilities in Israel
195,2025-04-08 15:03:23,Kate Spade,luxury fashion brand owned by Tapestry Inc
196,2025-04-08 15:03:23,Kinder Bueno,owned by Ferrero Group
197,2025-04-08 15:03:23,Karsten Farms,has severed its relations with the Israeli cooperative Hadiklaim
198,2025-04-08 15:03:23,Kimberly Clark,received the Jubilee Award by the Israeli Prime Minister Netanyahu
199,2025-04-08 15:03:23,Kleenex,owned by Kimberly Clark
200,2025-04-08 15:03:23,King Solomon,is an israeli brand
201,2025-04-08 15:03:23,Kirks,owned by Coca-Cola
202,2025-04-08 15:03:23,Kinley Water,a brand of bottled water owned by Coca-Cola
203,2025-04-08 15:03:23,KKR,made three investments in Israeli tech companies
204,2025-04-08 15:03:23,KFC,founding company Yum Brands is an investor in Israeli star-ups
205,2025-04-08 15:03:23,Kenneth Cole,supports Israel in new TV commercial
206,2025-04-08 15:03:23,KKW Cosmetics,owned by Kim Kardashian
207,2025-04-08 15:03:23,Kurkure,owned by PepsiCo
208,2025-04-08 15:03:23,Keebler,owned by Kellogg's
209,2025-04-08 15:03:23,Kitkat,owned by Nestle
210,2025-04-08 15:03:23,Kerastase,owned by L'Oréal
211,2025-04-08 15:03:23,Kenzo,owned by LVMH Bernard Arnault
212,2025-04-08 15:03:23,Kellogg's,has provided with $3.8 billion in annual military aid since 2016
213,2025-04-08 15:03:23,Kolynos,owned by Colgate-Palmolive
214,2025-04-08 15:03:23,Kaufland,owner to invest millions in Israeli technologies
215,2025-04-08 15:03:23,Kevita,owned by PepsiCo
216,2025-04-08 15:03:23,Knorr,owned by Unilever
217,2025-04-08 15:03:23,Krispy Kreme,owners of Krispy Kreme invested and donated through their Alfred Landecker Foundation
218,2025-04-08 15:03:23,Lidl,owner is a huge investor in israeli tech companies
219,2025-04-08 15:03:23,Limca,owned Coca-Cola
220,2025-04-08 15:03:23,Loblaws,are major sponsors of the Walk with Israel organization
221,2025-04-08 15:03:23,LVMH,owned by Bernard Arnault
222,2025-04-08 15:03:23,Louis Vuitton,owned by LVMH
223,2025-04-08 15:03:23,Luxottica (EssilorLuxottica),buys Israeli hearing tech startup Nuance
224,2025-04-08 15:03:23,Lupilu,owned by Lidl
225,2025-04-08 15:03:23,Life Water,owned by PepsiCo
226,2025-04-08 15:03:23,Lux,owned by Unilever
227,2025-04-08 15:03:23,Leonardo Hotels,part of the Fattal Hotels Group an Israeli hospitality company
228,2025-04-08 15:03:23,Lacoste,sponsorship of the Israel Football Association [IFA]
229,2025-04-08 15:03:23,Land Rover,partners with TCS to open Innovation Programme in Israel
230,2025-04-08 15:03:23,L'Oréal,initiated operations in Israel in the mid-1990s
231,2025-04-08 15:03:23,Levissima,owned by Nestle
232,2025-04-08 15:03:23,La Roche-Posay,a skincare brand owned by L'Oréal
233,2025-04-08 15:03:23,Lipton,owned by Unilever
234,2025-04-08 15:03:23,Major League Baseball,allowed to play Israeli national anthem in the games
235,2025-04-08 15:03:23,Mars,investing in the food tech startup through venture capital partner JVC
236,2025-04-08 15:03:23,Marsh McLennan,acquisition of Re Solutions reinsurance broker in Israel
237,2025-04-08 15:03:23,M&M,owned by Mars
238,2025-04-08 15:03:23,Maison Francis Kurkdjian,owned by LVMH
239,2025-04-08 15:03:23,Mattel,CEO of the company is Ynon Kreiz an Israeli-American
240,2025-04-08 15:03:23,Minute Maid,owned by Coca-Cola
241,2025-04-08 15:03:23,Monster,owned by Coca-Cola
242,2025-04-08 15:03:23,Mehadrin,Israeli-based agriculture company exporting produce globally
243,2025-04-08 15:03:23,Maaza,owned by Coca-Cola
244,2025-04-08 15:03:23,Monki,owned by H&M Group
245,2025-04-08 15:03:23,Morrisons,source produce from the state of Israel
246,2025-04-08 15:03:23,Mellow Yellow,owned by PepsiCo
247,2025-04-08 15:03:23,Mountain Dew,owned by PepsiCo
248,2025-04-08 15:03:23,Moroccan Oil,manufactured in Isreal
249,2025-04-08 15:03:23,Migdal Insurance,Israeli insurance and financial services company
250,2025-04-08 15:03:23,Mercedes,opened a tech hub in Tel Aviv
251,2025-04-08 15:03:23,Marc Jacobs,owned by LVMH
252,2025-04-08 15:03:23,Mirinda,owned by PepsiCo
253,2025-04-08 15:03:23,McDermott Will & Emery,helps investors invest in Israeli companies
254,2025-04-08 15:03:23,McDonald's,donated to meals to Israeli army
255,2025-04-08 15:03:23,Maccas,McDonald's known as Maccas in some regions
256,2025-04-08 15:03:23,Motorola,IDF uses Motorola as a main supplier for its communication equipment
257,2025-04-08 15:03:23,Michaels,CEO of the company supports Israel
258,2025-04-08 15:03:23,Minis,owned by Nestle
259,2025-04-08 15:03:23,Mizrahi Tefahot Bank,largest banks in Israel
260,2025-04-08 15:03:23,MoroccanOil,manufectures in Israel
261,2025-04-08 15:03:23,Michael Kors,owned by Capri Holdings which has business operations in Israel
262,2025-04-08 15:03:23,Milkybar,owned by Nestlé
263,2025-04-08 15:03:23,Maybelline,owned by L'Oréal
264,2025-04-08 15:03:23,Mount Franklin,owned by Coca-Cola
265,2025-04-08 15:03:23,Meta,runs Facebook and Instagram
266,2025-04-08 15:03:23,Monday.com,headquartered in Tel Aviv Israel
267,2025-04-08 15:03:23,Microsoft,collaborates with Israeli tech companies
268,2025-04-08 15:03:23,Munchies,owned by Frito-Lay a part of PepsiCo
269,2025-04-08 15:03:23,Morgan Lewis,published a letter to openly support Israel
270,2025-04-08 15:03:23,Moroccanoil,founded by Israeli co-founders
271,2025-04-08 15:03:23,Maggi,owned by Nestle
272,2025-04-08 15:03:23,Milka,owned by Mondelez
273,2025-04-08 15:03:23,Mommy Care,owner Joshua Shuki Shaked is an Israeli
274,2025-04-08 15:03:23,MBC TV (Group),published a report in favor of Israel
275,2025-04-08 15:03:23,MyHeritage,founded by an Israeli entrepreneur Gilad Japhet
276,2025-04-08 15:03:23,Next,company's CEO provides grants for science initiatives and cultural projects in Israel
277,2025-04-08 15:03:23,Nabisco,owned by Mondelez
278,2025-04-08 15:03:23,NameCheap,hosts israeli propaganda websites
279,2025-04-08 15:03:23,Nutter Butter,owned by Mondelez
280,2025-04-08 15:03:23,No Frills,is a brand of Loblaw Companies Limited that sponsors of the Walk with Israel organization
281,2025-04-08 15:03:23,National Geographic,owned by Disney
282,2025-04-08 15:03:23,New Balance,has been a sponsor of the Jerusalem Marathon
283,2025-04-08 15:03:23,Namshi,owned by Noon
284,2025-04-08 15:03:23,Nutella,owned by Ferrero
285,2025-04-08 15:03:23,Newtons,owned by Mondelez
286,2025-04-08 15:03:23,NVIDIA,is building a supercomputer for Israel and partnerships with Israeli tech companies
287,2025-04-08 15:03:23,Netflix,claim of being truly Israeli on their website
288,2025-04-08 15:03:23,Nescafe,owned by Nestlé
289,2025-04-08 15:03:23,Nestlé,owns 53.8% share of leading Israeli food manufacturer Osem
290,2025-04-08 15:03:23,Nesquik,owned by Nestlé
291,2025-04-08 15:03:23,Noon.com,UAE-based founder Mohamed Alabbar made donations to Israeli Charity Project
292,2025-04-08 15:03:23,Nike,have sponsorship deals with several Israeli athletes and teams
293,2025-04-08 15:03:23,Neutrogena,owned by Loreal
294,2025-04-08 15:03:23,Nussbeisser,owned by Mondelez
295,2025-04-08 15:03:23,Oreo,owned by Mondelez
296,2025-04-08 15:03:23,Overwolf,Israeli tech company specializing in gaming tools and software
297,2025-04-08 15:03:23,Oral-B,owned by Procter & Gamble
298,2025-04-08 15:03:23,Old Spice,owned by Procter & Gamble
299,2025-04-08 15:03:23,Oysho,owned by Inditex
300,2025-04-08 15:03:23,Oxygeneo,made in Israel
301,2025-04-08 15:03:23,Oracle,donated money to israeli employees
302,2025-04-08 15:03:23,Ocean Spray,is a brand of PepsiCo
303,2025-04-08 15:03:23,Oakley,owned by EssilorLuxottica that invests in israeli start ups
304,2025-04-08 15:03:23,OROWHEAT,owned by Bimbo
305,2025-04-08 15:03:23,P&G (Procter & Gamble),opened an R&D center in Tel Aviv and investing $2 billion annually
306,2025-04-08 15:03:23,Pampers,owned by Procter & Gamble which has business operations in Israel
307,2025-04-08 15:03:23,Purex,owned by Henkel is investing in Israeli technology by backing Feelit
308,2025-04-08 15:03:23,Pears,owned by Unilever
309,2025-04-08 15:03:23,Pull & Bear,owned by Inditex
310,2025-04-08 15:03:23,Paradise Dates,owned by Tnuvot Field Israels 3rd largest exporter of Medjool dates
311,2025-04-08 15:03:23,Pepsi,has a strong and long history of business with Israeli based SodaStream company
312,2025-04-08 15:03:23,Persil,owned by Unilever
313,2025-04-08 15:03:23,Premium Medjoul,dates sourced and often exported from Israel
314,2025-04-08 15:03:23,Popeyes,is the sister company of Burger King
315,2025-04-08 15:03:23,Philips,host major facilities like Philips Medical Systems Technologies Ltd. in Haifa originally established as the Israeli company Elscint
316,2025-04-08 15:03:23,Paramount,issued a statement on Twitter that they stand with Israel
317,2025-04-08 15:03:23,Philadelphia Cream Cheese,owned by Mondelez
318,2025-04-08 15:03:23,Pizza Hut,owned by Yum! Brands is actively investing in Israeli startups
319,2025-04-08 15:03:23,Protex,owned by Colgate-Palmolive
320,2025-04-08 15:03:23,Powerade,owned by Coca-Cola
321,2025-04-08 15:03:23,Purina,owned by Nestle
322,2025-04-08 15:03:23,Phoenix Holdings,israeli insurance and financial services company
323,2025-04-08 15:03:23,Propel,owned by PepsiCo
324,2025-04-08 15:03:23,Pepsodent,owned by Unilever
325,2025-04-08 15:03:23,Pond's,owned by Unilever
326,2025-04-08 15:03:23,Pure Leaf Green Tea,joint venture between PepsiCo and Unilever
327,2025-04-08 15:03:23,Prada,is a brand of L'Oreal
328,2025-04-08 15:03:23,Pringles,owned by Kellogg's
329,2025-04-08 15:03:23,Payoneer,Israeli-owned financial services company
330,2025-04-08 15:03:23,PureGym,CEO has made public statements to support Israel
331,2025-04-08 15:03:23,Palladium,provides official shoes for Israeli army
332,2025-04-08 15:03:23,Palmolive,owned by Colgate-Palmolive
333,2025-04-08 15:03:23,Purelife,owned by Nestlé
334,2025-04-08 15:03:23,Pureology,part of L'Oréal
335,2025-04-08 15:03:23,Perk,owned by Cadbury
336,2025-04-08 15:03:23,PUMA,sponsors Israeli athletes and teams
337,2025-04-08 15:03:23,Quaker Oats,is a brand of PepsiCo
338,2025-04-08 15:03:23,Qualcomm,invests millions of dollars to israeli tech start ups
339,2025-04-08 15:03:23,Roladin,bakery chain based in Israel
340,2025-04-08 15:03:23,Ruffles,owned by PepsiCo
341,2025-04-08 15:03:23,Ratiopharm,owned by Teva
342,2025-04-08 15:03:23,Range Rover,owned by Jaguar Land Rover partners with TCS to launch the Open Innovation Program in Israel
343,2025-04-08 15:03:23,Rove Hotels,founder Mohamed Ali Alabbar donates to israel
344,2025-04-08 15:03:23,Ray-Ban,owned by EssilorLuxottica that invests in israeli start ups
345,2025-04-08 15:03:23,Reebok,sponsors Israeli team
346,2025-04-08 15:03:23,Revlon,owner Ronald Perelman is a trustee of The Simon Wiesenthal Center
347,2025-04-08 15:03:23,Ralph Lauren,is a brand of L'Oreal
348,2025-04-08 15:03:23,Ritz,owned by Mondelez
349,2025-04-08 15:03:23,Royal Canin,owned by Mars
350,2025-04-08 15:03:23,Rapunzel Dates,dates brand owned by Israel
351,2025-04-08 15:03:23,Sanpellegrino,owned by Nestle
352,2025-04-08 15:03:23,Sabra Hummus,joint venture between PepsiCo and the Strauss Group an Israeli company
353,2025-04-08 15:03:23,SAP,donated 6500 israeli shekels to israeli employees after the war started
354,2025-04-08 15:03:23,Simply,owned by Coca-Cola
355,2025-04-08 15:03:23,Smart Water,owned by Coca-Cola
356,2025-04-08 15:03:23,Sprite,owned by Coca-Cola
357,2025-04-08 15:03:23,Spotify,founder Daniel Ek has expressed support for Israel
358,2025-04-08 15:03:23,Stradivarius,brand owned by the Inditex Group has a presence in Israel
359,2025-04-08 15:03:23,SodaStream,Israeli-based company
360,2025-04-08 15:03:23,Swisse,sells made in israel products
361,2025-04-08 15:03:23,Sensodyne,owned by GSK
362,2025-04-08 15:03:23,Siemens,has significant business operations in energy and infrastructure in Israel
363,2025-04-08 15:03:23,StreamElements,founded in Israel
364,2025-04-08 15:03:23,Schweppes,owned by Coca-Cola
365,2025-04-08 15:03:23,Sunsilk,owned by Unilever
366,2025-04-08 15:03:23,Signal,owned by Unilever
367,2025-04-08 15:03:23,Skittles,owned by Mars
368,2025-04-08 15:03:23,Smart Food,owned by PepsiCo
369,2025-04-08 15:03:23,SABON,Israeli-based company
370,2025-04-08 15:03:23,SeboCalm,Israeli-based skincare company
371,2025-04-08 15:03:23,SalesForce,donated $3 million to Israel
372,2025-04-08 15:03:23,Skechers,president Michael S Greenberg supports Israel
373,2025-04-08 15:03:23,SoBe,owned by PepsiCo
374,2025-04-08 15:03:23,Schwarzkopf,owned by Henkel
375,2025-04-08 15:03:23,Sunbites Crackers,owned by PepsiCo
376,2025-04-08 15:03:23,Sunlight,owned by Unilever
377,2025-04-08 15:03:23,Stanley Tools,made in Israel
378,2025-04-08 15:03:23,Smarties,owned by Nestlé
379,2025-04-08 15:03:23,SolarEdge,Israeli-based company
380,2025-04-08 15:03:23,Sephora,owned by LVMH
381,2025-04-08 15:03:23,Sam's Club,owned by Walmart
382,2025-04-08 15:03:23,Shoppers Drug Mart,owned by Loblaw Companies which supports initiatives tied to Israel
383,2025-04-08 15:03:23,Sanex,owned by Colgate-Palmolive
384,2025-04-08 15:03:23,Sony,supports Israel even posted on Instagram in their favor
385,2025-04-08 15:03:23,Superbus,israeli transportation company
386,2025-04-08 15:03:23,Scotiabank,invested 500 million dollars into Elbit Systems Ltd which is an Israeli weapons manufacturer
387,2025-04-08 15:03:23,Sour Patch Kids,owned by Mondelez
388,2025-04-08 15:03:23,Starbucks,Howard Schultz Starbucks' largest private owner invested $1.7B in Israeli cybersecurity firm Wiz
389,2025-04-08 15:03:23,Sadaf,israeli-owned brand
390,2025-04-08 15:03:23,Sting,owned by PepsiCo
391,2025-04-08 15:03:23,Shams,an israeli brand which sells dates
392,2025-04-08 15:03:23,Sneakers,owned by Mars Inc.
393,2025-04-08 15:03:23,Star Dates,israeli dates
